value,5-card,6-card,7-card,8-card,hand,rank
1507,4,156,2964,35816,"['T', '9', '6', '4', '2']",F
1508,4,156,2964,35816,"['T', '9', '6', '3', '2']",F
1509,4,160,3120,38780,"['T', '9', '5', '4', '3']",F
1510,4,156,2964,35816,"['T', '9', '5', '4', '2']",F
1511,4,156,2964,35816,"['T', '9', '5', '3', '2']",F
1512,4,156,2964,35816,"['T', '9', '4', '3', '2']",F
1513,4,164,3280,41900,"['T', '8', '7', '6', '5']",F
1514,4,164,3280,41900,"['T', '8', '7', '6', '4']",F
1515,4,160,3120,38780,"['T', '8', '7', '6', '3']",F
1516,4,156,2964,35816,"['T', '8', '7', '6', '2']",F
1517,4,164,3280,41900,"['T', '8', '7', '5', '4']",F
1518,4,160,3120,38780,"['T', '8', '7', '5', '3']",F
1519,4,156,2964,35816,"['T', '8', '7', '5', '2']",F
1520,4,160,3120,38780,"['T', '8', '7', '4', '3']",F
1521,4,156,2964,35816,"['T', '8', '7', '4', '2']",F
1522,4,156,2964,35816,"['T', '8', '7', '3', '2']",F
1523,4,164,3276,41744,"['T', '8', '6', '5', '4']",F
1524,4,160,3120,38780,"['T', '8', '6', '5', '3']",F
1525,4,156,2964,35816,"['T', '8', '6', '5', '2']",F
1526,4,160,3120,38780,"['T', '8', '6', '4', '3']",F
1527,4,156,2964,35816,"['T', '8', '6', '4', '2']",F
1528,4,156,2964,35816,"['T', '8', '6', '3', '2']",F
1529,4,160,3120,38780,"['T', '8', '5', '4', '3']",F
1530,4,156,2964,35816,"['T', '8', '5', '4', '2']",F
1531,4,156,2964,35816,"['T', '8', '5', '3', '2']",F
1532,4,156,2964,35816,"['T', '8', '4', '3', '2']",F
1533,4,160,3120,38780,"['T', '7', '6', '5', '4']",F
1534,4,160,3120,38780,"['T', '7', '6', '5', '3']",F
1535,4,156,2964,35816,"['T', '7', '6', '5', '2']",F
1536,4,160,3120,38780,"['T', '7', '6', '4', '3']",F
1537,4,156,2964,35816,"['T', '7', '6', '4', '2']",F
1538,4,156,2964,35816,"['T', '7', '6', '3', '2']",F
1539,4,160,3120,38780,"['T', '7', '5', '4', '3']",F
1540,4,156,2964,35816,"['T', '7', '5', '4', '2']",F
1541,4,156,2964,35816,"['T', '7', '5', '3', '2']",F
1542,4,156,2964,35816,"['T', '7', '4', '3', '2']",F
1543,4,156,2964,35816,"['T', '6', '5', '4', '3']",F
1544,4,156,2964,35816,"['T', '6', '5', '4', '2']",F
1545,4,156,2964,35816,"['T', '6', '5', '3', '2']",F
1546,4,156,2964,35816,"['T', '6', '4', '3', '2']",F
1547,4,156,2964,35816,"['T', '5', '4', '3', '2']",F
1548,4,164,3280,41900,"['9', '8', '7', '6', '4']",F
1549,4,160,3120,38780,"['9', '8', '7', '6', '3']",F
1550,4,156,2964,35816,"['9', '8', '7', '6', '2']",F
1551,4,164,3280,41900,"['9', '8', '7', '5', '4']",F
1552,4,160,3120,38780,"['9', '8', '7', '5', '3']",F
1553,4,156,2964,35816,"['9', '8', '7', '5', '2']",F
1554,4,160,3120,38780,"['9', '8', '7', '4', '3']",F
1555,4,156,2964,35816,"['9', '8', '7', '4', '2']",F
1556,4,156,2964,35816,"['9', '8', '7', '3', '2']",F
1557,4,164,3276,41744,"['9', '8', '6', '5', '4']",F
1558,4,160,3120,38780,"['9', '8', '6', '5', '3']",F
1559,4,156,2964,35816,"['9', '8', '6', '5', '2']",F
1560,4,160,3120,38780,"['9', '8', '6', '4', '3']",F
1561,4,156,2964,35816,"['9', '8', '6', '4', '2']",F
1562,4,156,2964,35816,"['9', '8', '6', '3', '2']",F
1563,4,160,3120,38780,"['9', '8', '5', '4', '3']",F
1564,4,156,2964,35816,"['9', '8', '5', '4', '2']",F
1565,4,156,2964,35816,"['9', '8', '5', '3', '2']",F
1566,4,156,2964,35816,"['9', '8', '4', '3', '2']",F
1567,4,160,3120,38780,"['9', '7', '6', '5', '4']",F
1568,4,160,3120,38780,"['9', '7', '6', '5', '3']",F
1569,4,156,2964,35816,"['9', '7', '6', '5', '2']",F
1570,4,160,3120,38780,"['9', '7', '6', '4', '3']",F
1571,4,156,2964,35816,"['9', '7', '6', '4', '2']",F
1572,4,156,2964,35816,"['9', '7', '6', '3', '2']",F
1573,4,160,3120,38780,"['9', '7', '5', '4', '3']",F
1574,4,156,2964,35816,"['9', '7', '5', '4', '2']",F
1575,4,156,2964,35816,"['9', '7', '5', '3', '2']",F
